address,adm-fees,garage-places,price,rooms,square-foot,neighborhood,city,latitude,longitude
"Rua Rubi, 402 ",550.0,1,600000.0,3,110, Prado, Belo Horizonte ,-19.7884921,-43.9717152
"Rua Alvarenga Peixoto, 425 ",,2,969619.0,2-3,66-118, Lourdes, Belo Horizonte ,-19.929576,-43.9494157
"Rua Mariano Procópio, 376 ",,2,398000.0,2,130, João Pinheiro, Belo Horizonte ,-19.9305746,-43.9939538
Rua Flor,300.0,1,495000.0,3,68,,Belo Horizonte,-19.8339596,-43.8688074
"Rua Sebastião Fabiano Dias, 233 ",1350.0,2,930000.0,3,100, Belvedere, Belo Horizonte ,-19.9763098,-43.9441586
"Rua Ramalho Ortigão, 649 ",,3,740000.0,3,200, Santa Branca, Belo Horizonte ,-19.8327541,-43.9664751
Rua Lavras ,,4,4200000.0,4,391, São Pedro, Belo Horizonte ,-19.9481626,-43.9382658
"Rua dos Timbiras, 3198 ",,2-3,,2-3,66-145, Barro Preto, Belo Horizonte ,-19.9302789,-43.9251047
Rua Tabelião Ferreira de Carvalho ,650.0,2,649900.0,3,93, Cidade Nova, Belo Horizonte ,-19.8869404,-43.9290733
"Rua José Hemetério Andrade, 558 ",400.0,1,319000.0,2,75, Buritis, Belo Horizonte ,-19.9786425,-43.9631117
Rua Ubá ,700.0,2,670000.0,3,106, Colégio Batista, Belo Horizonte ,-19.9102519,-43.9356369
"Rua Caraça, 507 ",1350.0,2,1150000.0,4,145, Serra, Belo Horizonte ,-19.9430505,-43.9141262
"Rua Eli Seabra Filho, 215 ",400.0,2,690000.0,3,215, Buritis, Belo Horizonte ,-19.9756218,-43.9749864
"Rua Juiz Costa Val, 118 ",,1,535000.0,2,66, Santa Efigênia, Belo Horizonte ,-19.9271004,-43.9192351
"Rua Rio Grande do Sul, 2414 ",,1-2,670500.0,1-2,43, Santo Agostinho, Belo Horizonte ,-19.9227162,-43.946463
"Rua Pouso Alegre, 2615 ",494.0,1,315000.0,2,50, Horto, Belo Horizonte ,-19.9121319,-43.9296778
"Rua Almirante Alexandrino, 761 ",1450.0,2,1030000.0,4,148, Gutierrez, Belo Horizonte ,-19.931528,-43.9558202
"Rua Santa Rita Durão, 152 ",600.0,2,1320000.0,3,93, Funcionários, Belo Horizonte ,-19.9344756,-43.9346452
"Rua José Cláudio Sanches, 120 ",180.0,1,230000.0,3,70, Califórnia, Belo Horizonte ,-19.9315944,-44.0187098
"Rua Dois Mil Duzentos e Vinte e Um, 80 ",,1,130000.0,3,56, Granja De Freitas, Belo Horizonte ,-19.9119572,-43.8836351
"Rua Itaparica, 221 ",300.0,2,854000.0,4,103, Serra, Belo Horizonte ,-19.9358076,-43.9195007
"Rua Bernardo Guimarães, 594 ",,2-3,1263492.0,3-4,87-134, Savassi, Belo Horizonte ,-19.927333,-43.9477878
"Rua Coral, 69 ",1100.0,2,625000.0,3,92, São Pedro, Belo Horizonte ,-19.9485933,-43.9375473
"Rua Anhangüera, 95 ",,2,388000.0,3,62, Santa Tereza, Belo Horizonte ,-19.9138422,-43.9206403
"Rua José Quirino Rosa, 395 ",1000.0,4,3000000.0,4,600, Braúnas, Belo Horizonte ,-19.8489837,-44.0107497
"Rua Alberto Bressane, 247 ",,3,1350000.0,4,375, São Lucas, Belo Horizonte ,-19.9300689,-43.9139527
Rua Daniel de Carvalho ,270.0,2,530000.0,4,142, Gutierrez, Belo Horizonte ,-19.9399033,-43.9587235
"Rua Nunes Vieira, 292 ",600.0,1,598000.0,3,120, Santo Antônio, Belo Horizonte ,-19.9424153,-43.945949
Rua Flor,500.0,2,530000.0,3,81,,Belo Horizonte,-19.8339596,-43.8688074
"Rua Alvarenga Peixoto, 1250 ",,2-3,,2-3,76-208, Santo Agostinho, Belo Horizonte ,-19.929576,-43.9494157
Rua Padre Rossini Cândido ,400.0,1,495000.0,3,105, Coração Eucarístico, Belo Horizonte ,-19.9242494,-43.9883924
"Rua Ocidental, 126 ",320.0,1,160000.0,2,50, Serrano, Belo Horizonte ,-19.8859929,-44.0105181
"Avenida Portugal, 2434 ",,1,750000.0,--,130, Santa Amélia, Belo Horizonte ,-19.8425871,-43.9698185
Rua Vitório Marcola ,580.0,1,495000.0,3,96, Anchieta, Belo Horizonte ,-19.9489372,-43.9230864
"Rua Doutor Rubens Guimarães, 256 ",680.0,2,1100000.0,4,190, Castelo, Belo Horizonte ,-19.8880639,-43.9981387
"Rua Bambuí, 699 ",430.0,2,670000.0,2,72, Cruzeiro, Belo Horizonte ,-19.9521977,-43.9262572
"Rua Ouro Preto, 1102 ",,2-3,1298925.0,3-4,103-128, Santo Agostinho, Belo Horizonte ,-19.9190479,-43.949625
"Rua Nhanduti, 287 ",,10,2690000.0,18,1050, Caiçara Adeláide, Belo Horizonte ,-19.903732,-43.9746476
"Rua Professor Euclydes Ferreira, 339 ",450.0,2,410000.0,2,61, Buritis, Belo Horizonte ,-19.9701337,-43.972571
"Rua Manoel Passos, 743 ",,1,420000.0,4,149, Santa Cruz, Belo Horizonte ,-19.8775142,-43.9454267
"Rua Rio Grande do Sul, 1212 ",1600.0,2,1680000.0,4,142, Santo Agostinho, Belo Horizonte ,-19.9227162,-43.946463
"Rua Padre Francisco Arantes, 151 ",300.0,--,312000.0,3,75, Vila Paris, Belo Horizonte ,-19.9530867,-43.9514407
"Rua Djezar Leite, 200 ",190.0,1,180000.0,2,46, Gameleira, Belo Horizonte ,-19.941864,-43.9942715
"Rua Ouro Preto, 1240 ",,4,1900000.0,4,133, Santo Agostinho, Belo Horizonte ,-19.9190479,-43.949625
"Avenida Coronel José Dias Bicalho, 456 ",320.0,2,550000.0,3,126, São José, Belo Horizonte ,-19.8590713,-43.9656056
"Rua Vitória, 85 ",255.0,1,214000.0,2,60, Santa Cruz, Belo Horizonte ,-19.8805752,-43.9366111
"Rua Alberto Ambrósio dos Santos, 133 ",,--,560000.0,--,436, Mantiqueira, Belo Horizonte ,-19.8029566,-43.9777127
"Rua Aurélio Lopes, 248 ",280.0,4,1400000.0,3,208, Diamante, Belo Horizonte ,-19.9954293,-44.0194475
"Praça Um Mil e Cinquenta e Dois, 17 ",330.0,1,280000.0,2,64, Castelo, Belo Horizonte ,-19.876972950000003,-43.99427659322822
"Rua Xapuri, 607 ",825.0,2,844900.0,3,89, Grajaú, Belo Horizonte ,-19.9437549,-43.9704569
"Rua Grão Pará, 486 ",,2,884290.0,2-3,64-93, Santa Efigênia, Belo Horizonte ,-19.9220194,-43.9214366
"Rua Cláudio Manoel, 622 ",700.0,2,1111500.0,3,95, Funcionários, Belo Horizonte ,-19.9335821,-43.9329926
Rua Santo Antônio ,198.0,1,155000.0,2,50, São João Batista, Belo Horizonte ,-19.8282851,-44.00698
Rua Xingu ,,4,1300000.0,4,300, Santa Lúcia, Belo Horizonte ,-19.9729011,-43.9504096
"Rua Jacuí, 3480 ",,--,250000.0,1,55, Ipiranga, Belo Horizonte ,-19.8777593,-43.9290751
Rua Doutor José Welinton ,140.0,1,220000.0,2,62, Planalto, Belo Horizonte ,-19.8353338,-43.943499
"Rua Rio Grande do Norte, 1022 ",,2,1055414.0,3,84-87, Funcionários, Belo Horizonte ,-19.9302239,-43.9306127
"Rua Barão de Coromandel, 789 ",550.0,3,750000.0,4,132, Barreiro, Belo Horizonte ,-19.8997258,-43.968762
Rua Izabel Alves Martins ,240.0,2,330000.0,2,62, Serrano, Belo Horizonte ,-19.882997,-44.0112702
"Rua André Cavalcanti, 730 ",1565.0,3,2300000.0,4,141, Gutierrez, Belo Horizonte ,-19.9319115,-43.9611283
"Rua Inspetor José Aparecido, 197 ",,6,1150000.0,8,600, São Bento, Belo Horizonte ,-19.9620119,-43.9528593
"Rua Xangrilá, 75 ",1900.0,4,3400000.0,5,620, Pampulha, Belo Horizonte ,-19.7532823,-43.9417148
"Rua Maria Borboleta, 1138 ",,1,620000.0,3,203, Jardim dos Comerciários, Belo Horizonte ,-19.7977477,-43.9764092
"Rua Cachoeira de Minas, 114 ",920.0,3,680000.0,4,136, Gutierrez, Belo Horizonte ,-19.9465331,-43.9600379
"Rua Felipe dos Santos, 576 ",,2,1202181.0,2-3,92-125, Lourdes, Belo Horizonte ,-19.9342841,-43.9462997
Rua Cardoso ,580.0,2,780000.0,3,174, Santa Efigênia, Belo Horizonte ,-19.9198846,-43.9119026
"Rua Pains, 59 ",423.0,1,555000.0,3,118, Sion, Belo Horizonte ,-19.9552539,-43.9311769
Avenida Novara ,,6,2700000.0,6,800, Bandeirantes, Belo Horizonte ,-19.8602566,-43.9880343
"Rua Dom João Antônio dos Santos, 000 ",,--,2500000.0,12,361, Coração Eucarístico, Belo Horizonte ,-19.9206452,-43.9879917
"Rua São Paulo, 1905 ",1012.0,2,1350000.0,3,90, Lourdes, Belo Horizonte ,-19.914782,-43.9388011
"Rua Tomé de Souza, 830 ",,--,54000.0,--,53, Savassi, Belo Horizonte ,-19.9388244,-43.9274451
"Rua Martim de Carvalho, 440 ",,3,1137069.0,3,82-86, Santo Agostinho, Belo Horizonte ,-19.9311733,-43.9479411
Rua Gipsita ,,--,530000.0,--,400, Candelaria, Belo Horizonte ,-19.8098463,-43.9755178
"Avenida Engenheiro Carlos Goulart, 1278 ",650.0,6,4480000.0,4,653, Buritis, Belo Horizonte ,-19.9703438,-43.960916
"Rua Antônio de Albuquerque, 894 ",900.0,1,1500000.0,2,79, Savassi, Belo Horizonte ,-19.936584,-43.9421163
"Rua Santa Rita Durão, 614 ",600.0,1,850000.0,4,140, Savassi, Belo Horizonte ,-19.9344756,-43.9346452
"Rua dos Tupis, 274 ",585.0,--,365000.0,3,99, Centro, Belo Horizonte ,-19.9205221,-43.9435645
"Rua Bernardo Guimarães, 199 ",,2,895240.0,2-3,67-94, Funcionários, Belo Horizonte ,-19.927333,-43.9477878
"Rua Cata Preta, 459 ",150.0,1,175000.0,2,43, João Pinheiro, Belo Horizonte ,-19.932214,-43.9986254
"Rua Císsus, 148 ",,1,4200000.0,13,2250, Juliana, Belo Horizonte ,-19.809608,-43.9442964
"Rua Dona Queridinha, 285 ",,2,558000.0,3,80, Itapoã, Belo Horizonte ,-19.837092,-43.9623659
"Rua Engenheiro Walter Kurrle, 15 ",3700.0,4,2900000.0,4,239, Belvedere, Belo Horizonte ,-19.9777773,-43.9433639
"Rua Visconde de Mauá, 95 ",234.0,1,200000.0,2,44, Califórnia, Belo Horizonte ,-19.9258557,-44.0140584
"Rua dos Inconfidentes, 766 ",,2,1050000.0,2-3,65-81, Savassi, Belo Horizonte ,-19.937775,-43.9268338
"Rua Trifana, 247 ",750.0,2,650000.0,2,72, Serra, Belo Horizonte ,-19.9442676,-43.9178316
Rua Cantor Luiz Gonzaga ,140.0,2,565000.0,3,191, Castelo, Belo Horizonte ,-19.889068,-44.0008325
Rua Frei Caneca ,240.0,1,290000.0,3,85, Bonfim, Belo Horizonte ,-19.907047,-43.9574328
"Rua Mendoza, 83 ",400.0,2,465000.0,3,150, São Pedro, Belo Horizonte ,-19.9513071,-43.937821
"Avenida Augusto de Lima, 1121 ",502.0,--,196000.0,1,50, Barro Preto, Belo Horizonte ,-19.9230616,-43.9441556
"Rua Monte Simplon, 405 ",,2,429000.0,2,63, Nova Suíssa, Belo Horizonte ,-19.9295351,-43.9824004
"Rua Antônio de Albuquerque, 1.008 ",,2,,3,106-170, Savassi, Belo Horizonte ,-19.936584,-43.9421163
"Rua Rio de Janeiro, 1165 ",399.0,1,420000.0,1,58, Centro, Belo Horizonte ,-19.9150685,-43.9375314
"Rua Cipreste, 200 ",320.0,1,235000.0,2,47, Marajó, Belo Horizonte ,-19.9605408,-43.978523
"Avenida Afonso Pena, 4040 ",2000.0,3,3000000.0,6,400, Cruzeiro, Belo Horizonte ,-19.9469331,-43.9212512
"Rua Turibaté, 191 ",1000.0,3,985000.0,3,130, Sion, Belo Horizonte ,-19.9564616,-43.931951
"Rua Serranos, 61 ",1800.0,3,1500000.0,4,248, Serra, Belo Horizonte ,-19.9438121,-43.916671
"Rua Jacuí, 766 ",,5,1390000.0,5,315, Floresta, Belo Horizonte ,-19.8777593,-43.9290751
"Rua dos Inconfidentes, 597 ",,2,725503.0,2,58, Savassi, Belo Horizonte ,-19.937775,-43.9268338
"Rua Sônia, 203, ",,4,520000.0,3,137, Penha, Belo Horizonte ,-19.8583398,-43.9335451
"Rua Paraguai, 66 ",400.0,2,625000.0,2,63, Sion, Belo Horizonte ,-19.947766,-43.9338933
"Rua Belfort Roxo, 275 ",200.0,1,215000.0,3,70, Grajaú, Belo Horizonte ,-19.9427834,-43.9663408
"Rua Araguari, 1331 ",1650.0,3,1950000.0,3,135, Santo Agostinho, Belo Horizonte ,-19.9304083,-43.9514156
Rua Dona Cidinha Stussi ,260.0,1,400000.0,3,73, Santa Amélia, Belo Horizonte ,-19.8408076,-43.9848631
"Rua Aluísio Lobão Veras, 201 ",250.0,1,230000.0,3,72, Serrano, Belo Horizonte ,-19.8816511,-44.0073674
"Rua dos Inconfidentes, 597 ",,2,705929.0,2,57, Funcionários, Belo Horizonte ,-19.937775,-43.9268338
"Rua Monte Castelo, 170 ",250.0,2,779000.0,3,136, Itapoã, Belo Horizonte ,-19.8361417,-43.9696521
"Rua Augusto Clementino, 275 ",,4,1200000.0,6,326, Santa Amélia, Belo Horizonte ,-19.8341265,-43.981495
Rua Desembargador Custódio Lustosa ,300.0,2,850000.0,3,106, Itapoã, Belo Horizonte ,-19.8360944,-43.957278
"Rua Professor Aníbal Mattos, 313 ",700.0,1,620000.0,3,110, Santo Antônio, Belo Horizonte ,-19.9480862,-43.944339
Rua Orange ,1750.0,2,1590000.0,4,143, São Pedro, Belo Horizonte ,-19.9410165,-43.9356136
"Rua dos Borges, 390 ",166.0,1,150000.0,2,49, São Gabriel, Belo Horizonte ,-19.8413359,-43.8776027
"Rua Genoveva de Souza, 879 ",,2,,2,69, Sagrada Família, Belo Horizonte ,-19.9067997,-43.9216393
Rua Visconde de Taunay ,256.0,2,279000.0,3,70, Santa Mônica, Belo Horizonte ,-19.9281876,-43.9199884
Rua Dona Cidinha Stussi ,,4,980000.0,4,254, Santa Amélia, Belo Horizonte ,-19.8408076,-43.9848631
"Rua Tomé de Souza, 95 ",,3,1850000.0,3,118, Savassi, Belo Horizonte ,-19.9388244,-43.9274451
"Rua Buenos Aires, 213 ",350.0,--,335000.0,2,75, Sion, Belo Horizonte ,-19.9499624,-43.9360413
"Rua Bolívia, 387 ",760.0,1,420000.0,3,115, São Pedro, Belo Horizonte ,-19.9488009,-43.9368301
"Rua Stella Hanriot, 518 ",817.0,3,660000.0,3,86, Buritis, Belo Horizonte ,-19.9715766,-43.9715633
"Rua Araguari, 1692 ",,2,877158.0,2-3,66-86, Santo Agostinho, Belo Horizonte ,-19.9304083,-43.9514156
"Rua Senador Pompéo, 89 ",550.0,1,500000.0,2,63, Serra, Belo Horizonte ,-19.9361721,-43.9202723
"Rua Pioneiros da Paz, 55 ",,5,1395000.0,5,360, Santa Amélia, Belo Horizonte ,-19.8388031,-43.9796899
"Rua Dona Cecília, 86 ",1941.0,4,2000000.0,5,220, Serra, Belo Horizonte ,-19.9377676,-43.922114
"Avenida Álvares Cabral, 397 ",,--,1399999.0,--,240, Lourdes, Belo Horizonte ,-19.9244866,-43.9354151
"Rua Paracatu, 727 ",,2,1200000.0,1,180, Barro Preto, Belo Horizonte ,-19.9198913,-43.9512169
"Avenida Vilarinho, 1731 ",355.0,1,250000.0,3,1000, Venda Nova, Belo Horizonte ,-19.8196297,-43.9521259
"Rua Bauxita, 114 ",,2-3,,3,74-141, Santa Tereza, Belo Horizonte ,-19.9129781,-43.9189177
"Rua Alvarenga Peixoto, 1285 ",350.0,1,650000.0,3,129, Santo Agostinho, Belo Horizonte ,-19.929576,-43.9494157
"Avenida José Cândido da Silveira, 509 ",,--,1200000.0,--,360, Cidade Nova, Belo Horizonte ,-19.8772474,-43.9104561
Rua Mário de Andrade Gomes ,,2,390000.0,4,150, Sagrada Família, Belo Horizonte ,-19.9109591,-43.9187938
"Rua Alcântara, 423 ",,2,1100000.0,4,178, Nova Granada, Belo Horizonte ,-19.9374107,-43.9712444
"Rua São Romão, 209 ",450.0,2,599000.0,3,118, Santo Antônio, Belo Horizonte ,-19.9450687,-43.9402399
"Rua dos Inconfidentes, 732 ",850.0,1,1500000.0,3,200, Savassi, Belo Horizonte ,-19.937775,-43.9268338
"Rua Gonçalves Dias, 31 ",,3,,3,106-170, Funcionários, Belo Horizonte ,-19.9311846,-43.9376407
"Rua Senhora da Paz, 1013 ",,2,960000.0,5,211, Cachoeirinha, Belo Horizonte ,-19.8934302,-43.9446795
"Rua Carioca, 750 ",,3,700000.0,4,97, Padre Eustáquio, Belo Horizonte ,-19.9158375,-43.9876115
"Rua Aramirim, 35 ",720.0,2,590000.0,3,66, Nova Suíssa, Belo Horizonte ,-19.9329559,-43.9727671
Rua dos Otoni ,921.0,2,1235000.0,3,101, Santa Efigênia, Belo Horizonte ,-19.86409,-43.9327907
"Rua Expedicionário Salvador Alves, 144 ",160.0,1,200000.0,2,55, Itatiaia, Belo Horizonte ,-19.8703915,-44.0136668
"Alameda das Palmeiras, 95 ",,13,3440000.0,7,800, São Luíz, Belo Horizonte ,-19.857305,-43.9715466
"Rua Fernandes Tourinho, 221 ",,2,,2,63-67, Savassi, Belo Horizonte ,-19.9393917,-43.9358894
"Rua Francisco Augusto Rocha, 101 ",400.0,2,399000.0,3,69, Planalto, Belo Horizonte ,-19.8259057,-43.9535056
"Rua Nelson, 319 ",,--,439800.0,--,50, União, Belo Horizonte ,-19.8821223,-43.9237077
"Rua Conceição do Pará, 556 ",,--,3200000.0,--,853, Santa Inês, Belo Horizonte ,-19.894933,-43.9115401
"Rua Deputado Bernardino de Sena Figueiredo, 1177 ",,3,750000.0,3,150, Cidade Nova, Belo Horizonte ,-19.8840778,-43.9282818
Rua Itabira ,220.0,1,265000.0,3,60, Colégio Batista, Belo Horizonte ,-19.9076379,-43.94024
"Praça Afonso Arinos, 176 ",900.0,1,750000.0,3,150, Centro, Belo Horizonte ,-19.925327099999997,-43.93653147605973
"Rua Dante, 133 ",,2,790000.0,4,132, São Lucas, Belo Horizonte ,-19.9305605,-43.9206684
"Rua Sergipe, 15 ",500.0,--,330000.0,2,77, Funcionários, Belo Horizonte ,-19.9276923,-43.9354354
"Rua Oliveiro Marciano, 315 ",300.0,1,149900.0,2,45, Diamante, Belo Horizonte ,-19.992021,-44.0224834
"Rua Iraí, 577 ",1000.0,2,860000.0,4,140, Vila Paris, Belo Horizonte ,-19.9463585,-43.9507721
Rua Alga Vermelha ,270.0,1,340000.0,3,70, Floramar, Belo Horizonte ,-19.8284095,-43.9397953
"Rua dos Aeronautas, 400 ",270.0,2,400000.0,3,79, Liberdade, Belo Horizonte ,-19.8589699,-43.9558088
"Rua Alga Vermelha, 120 ",389.0,1,420000.0,3,79, Jardim Guanabara, Belo Horizonte ,-19.8284095,-43.9397953
"Rua Prados, 567 ",,2,,2,53-106, Carlos Prates, Belo Horizonte ,-19.908874,-43.9581104
Rua São Bento ,700.0,2,1300000.0,3,230, Graça, Belo Horizonte ,-19.902532,-43.9179091
"Avenida Afonso Pena, 941 ",,--,2600000.0,--,804, Centro, Belo Horizonte ,-19.9469331,-43.9212512
Rua Moreira Antunes ,,--,200000.0,2,100, Beija Flor, Belo Horizonte ,-19.8336238,-43.8714023
"Rua Pastor Achilles Barbosa, 381 ",225.0,1,192000.0,2,44, Palmares, Belo Horizonte ,-19.8719417,-43.9377335
Rua Itamaracá ,,3,950000.0,7,292, Concórdia, Belo Horizonte ,-19.9032036,-43.9339234
Rua Rádio ,,2-3,528600.0,2-3,63-83, São Lucas, Belo Horizonte ,-19.933145,-43.9191379
Rua Raimundo Albergaria Filho ,50.0,1,428000.0,4,130, Copacabana, Belo Horizonte ,-19.8382317,-43.9943135
"Rua dos Timbiras, 1936 ",,--,238000.0,--,33, Lourdes, Belo Horizonte ,-19.9302789,-43.9251047
"Rua Álvares de Azevedo, 153 ",,4,999000.0,3,245, Floresta, Belo Horizonte ,-19.908646,-43.9397161
"Rua Monte Castelo, 170 ",250.0,2,689000.0,3,160, Itapoã, Belo Horizonte ,-19.8361417,-43.9696521
"Rua Gonçalves Crespo, 192 ",,--,330000.0,--,264, Santa Maria, Belo Horizonte ,-19.93697,-44.0100163
"Rua Recy Souza Paiva, 193 ",150.0,2,394000.0,3,60, Planalto, Belo Horizonte ,-19.8349727,-43.9541979
"Rua Desembargador Custódio Lustosa, 56 ",300.0,2,700000.0,3,93, Itapoã, Belo Horizonte ,-19.8360944,-43.957278
"Rua Alumínio, 50 ",,3-4,,3-4,164-231, Serra, Belo Horizonte ,-19.9390308,-43.9256143
"Avenida João Pinheiro, 581 ",615.0,1,498000.0,1,69, Funcionários, Belo Horizonte ,-19.9268305,-43.9366543
"Rua Alagoas, 1182 ",300.0,2,780000.0,2,98, Savassi, Belo Horizonte ,-19.9314695,-43.9350021
Rua Caraça ,1800.0,5,1950000.0,4,246, Serra, Belo Horizonte ,-19.9430505,-43.9141262
"Rua Abel Araújo, 480 ",,6,2200000.0,4,215, São Bento, Belo Horizonte ,-19.9586719,-43.9548575
"Rua Salinas, 683 ",,2,1140000.0,5,264, Floresta, Belo Horizonte ,-19.91359,-43.9138661
"Rua Alumínio, 50 ",,3,,3-4,226-231, Serra, Belo Horizonte ,-19.9390308,-43.9256143
"Avenida Getúlio Vargas, 887 ",,4,1490000.0,--,154, Savassi, Belo Horizonte ,-19.9357431,-43.9313935
"Rua Cláudio Gomes de Souza, 321 ",330.0,2,350000.0,3,65, Palmares, Belo Horizonte ,-19.8712648,-43.9389073
Rua Henrique Cabral ,570.0,4,660000.0,4,110, São Luíz, Belo Horizonte ,-19.8528774,-43.960721
"Avenida Francisco Sales, 1614 ",,--,1800000.0,5,262, Santa Efigênia, Belo Horizonte ,-19.9221979,-43.927814
"Rua São Domingos do Prata, 570 ",,3-4,,4,143, Santo Antônio, Belo Horizonte ,-19.9450923,-43.9374086
"Rua Santa Rita Durão, 321 ",,--,200000.0,--,35, Funcionários, Belo Horizonte ,-19.9344756,-43.9346452
Rua Pastor Achilles Barbosa ,350.0,2,399000.0,3,74, Palmares, Belo Horizonte ,-19.8719417,-43.9377335
"Rua Rúbia Mara Barbosa, 45 ",250.0,1,188000.0,2,45, Diamante, Belo Horizonte ,-19.9905509,-44.0224837
Rua Pires da Mota ,200.0,1,299000.0,3,110, Madre Gertrudes, Belo Horizonte ,-19.9486642,-44.0028674
"Avenida Dom Pedro II, 57 ",,--,990000.0,1,700, Carlos Prates, Belo Horizonte ,-19.9139307,-43.9537918
